m_x,sd_x,m_y,sd_y,m_z,sd_z,label
583.63336,333.3692,965.3,121.09588,977.01666,125.62244,A
688.6667,231.76543,933.9167,157.19739,733.0333,176.85208,A
515.4,382.50854,944.56665,127.98825,686.75,227.91103,A
517.5333,301.25558,906.9167,173.47575,692.56665,265.19852,A
684.2,332.93683,899.7833,155.12413,757.4667,227.099,A
879.86664,234.88243,917.65,165.8397,607.43335,197.09456,A
759.61664,285.78937,874.88336,206.3869,697.1667,223.04352,A
811.8333,237.76532,800.2167,196.08928,625.01666,183.74669,A
854.93335,271.99234,944.9,117.66828,640.2833,146.14088,A
713.73334,272.71103,921.4667,161.35495,673.7167,168.87637,A
915.48334,209.1054,527.13336,258.8766,867.05,247.34407,B
853.8,203.55127,549.93335,281.30048,947.9667,68.09838,B
762.43335,262.8333,592.9167,267.78027,982.4,37.71939,B
742.45,246.97696,618.4667,217.43533,806.11664,268.7755,B
831.11664,224.27647,595.01666,209.07718,970.7833,68.469025,B
793.6667,272.7759,543.93335,229.51094,1006.51666,45.88063,B
785.4667,250.81844,478.06668,274.54776,992.7,37.97024,B
817.13336,238.37404,528.4,237.50003,982.7167,39.847614,B
825.6667,244.91322,488.35,221.524,724.31665,261.493,B
768.48334,249.95673,515.8,205.36145,833.1667,202.81113,B
822.51666,161.5488,866.35,127.20141,774.1,225.98619,C
968.8,99.90125,941.0,127.966484,677.31665,285.1431,C
758.35,165.72299,748.13336,165.48523,782.25,181.95842,C
769.98334,123.58462,750.43335,143.60896,805.0,151.64186,C
787.86664,181.43697,840.05,107.77494,773.81665,228.92348,C
944.95,132.33862,774.8333,141.05771,809.9667,197.79626,C
961.3,105.519394,768.56665,151.64153,755.7167,208.14645,C
971.98334,77.04905,794.55,134.98859,810.4,169.73003,C
780.68335,200.06389,782.18335,165.77846,841.3333,167.03337,C
874.73334,133.63548,801.81665,110.98075,779.5,165.91516,C
